MATHER JOSHUA PIKE,KY,REP,
MCBRIDE-SAMUELS D. JEAN,OK,REP,
MCCONNELL MITCH,KY,REP,11832783.00
MCCRAY ERIC C,OK,REP,
MCDANIEL CHRISTOPHER BRIAN,MS,REP,2582759.00
MCFADDEN MICHAEL,MN,REP,3402766.00
MCGEEHAN PAT,WV,REP,31537.00
MCLEAY BARTHOLOMEW L,NE,REP,564596.00
MCMILLAN JAIME,CO,REP,14010.00
MILLER BRYAN EDWARD,WY,REP,
MILLER JOSEPH W,AK,REP,327598.00
MOSS CHARLES EDWARD,VA,REP,3735.00
MOYE ROB,OK,REP,
MUNRO PATRICK D.,MN,REP,
NELSON STACEY STACE VICTOR,SD,REP,143234.00
O'NEAL AARON GRAY,NC,REP,
OBERWEIS JAMES D JIM,IL,REP,433025.00
ORTMAN JULIANNE,MN,REP,1067712.00
OSBORN SHANE,NE,REP,1971040.00
PARRISH PHILLIP CHARLES,MN,REP,1200.00
PAYNE CHRIS,KY,REP,
PERDUE DAVID,GA,REP,4564377.00
PERKINS JO RAE,OR,REP,9405.00
PEZZULLO RICHARD ,NJ,REP,30324.00
PIRKOWSKI EDWARD (EDDIE),HI,REP,
PROCARRONE SHERRY,IL,REP,
RAVENEL THOMAS JONATHAN JACKSON,SC,REP,234946.00
RAVNSBORG JASON,SD,REP,12227.00
REASOR REID DAVID,TX,REP,
RHODEN LARRY ROBERT,SD,REP,143996.00
RISCH JAMES E,ID,REP,1544362.00
ROBERTS PAT,KS,REP,3246745.00
ROCO JOHN,HI,REP,
ROGERS EVELYN L,OK,REP,2183.00
ROUNDS MARION MICHAEL,SD,REP,3371559.00
RUBENS JIM,NH,REP,89697.00
RUIZ JOSE MANUEL,IL,REP,
SABRIN MURRAY,NJ,REP,58621.00
SASSE BENJAMIN E,NE,REP,3596172.00
SAVIOR OLE',MN,REP,
SCHABEN SCOTT,IA,REP,18621.00
SCOTT TIMOTHY E,SC,REP,5258271.00
SESSIONS JEFF,AL,REP,971593.00
SHANNON T W,OK,REP,1932857.00
SHUDLICK HAROLD A,MN,REP,
SMINK CARL,DE,REP,
SMITH DELLA JEAN,KS,REP,5.00
SMITH ROBERT ,NH,REP,462818.00
SNYDER JAMES EUGENE JR,NC,REP,
